,Unnamed: 0,file_id,genus,file_path
0,0.0,217695,Tinamus,audio\217695.wav
1,1.0,353537,Tinamus,audio\353537.wav
2,2.0,353525,Tinamus,audio\353525.wav
3,3.0,113213,Tinamus,audio\113213.wav
4,4.0,85442,Tinamus,audio\85442.wav
5,5.0,85067,Tinamus,audio\85067.wav
6,6.0,85066,Tinamus,audio\85066.wav
7,7.0,452850,Crypturellus,audio\452850.wav
8,8.0,446610,Crypturellus,audio\446610.wav
9,9.0,424163,Crypturellus,audio\424163.wav
10,10.0,333322,Crypturellus,audio\333322.wav
11,11.0,329091,Crypturellus,audio\329091.wav
12,12.0,329090,Crypturellus,audio\329090.wav
13,13.0,310825,Crypturellus,audio\310825.wav
14,14.0,310821,Crypturellus,audio\310821.wav
15,15.0,306288,Crypturellus,audio\306288.wav
16,16.0,217694,Crypturellus,audio\217694.wav
17,17.0,171227,Crypturellus,audio\171227.wav
18,18.0,167252,Crypturellus,audio\167252.wav
19,19.0,143922,Crypturellus,audio\143922.wav
20,20.0,85038,Crypturellus,audio\85038.wav
21,21.0,85037,Crypturellus,audio\85037.wav
22,22.0,85036,Crypturellus,audio\85036.wav
23,23.0,85035,Crypturellus,audio\85035.wav
24,24.0,85034,Crypturellus,audio\85034.wav
25,25.0,47907,Crypturellus,audio\47907.wav
26,26.0,9904,Crypturellus,audio\9904.wav
27,27.0,506369,Crypturellus,audio\506369.wav
28,28.0,469140,Crypturellus,audio\469140.wav
29,29.0,413837,Crypturellus,audio\413837.wav
30,30.0,412497,Crypturellus,audio\412497.wav
31,31.0,412494,Crypturellus,audio\412494.wav
32,32.0,377292,Crypturellus,audio\377292.wav
33,33.0,377192,Crypturellus,audio\377192.wav
34,34.0,370827,Crypturellus,audio\370827.wav
35,35.0,333320,Crypturellus,audio\333320.wav
36,36.0,325619,Crypturellus,audio\325619.wav
37,37.0,266350,Crypturellus,audio\266350.wav
38,38.0,221887,Crypturellus,audio\221887.wav
39,39.0,217698,Crypturellus,audio\217698.wav
40,40.0,217697,Crypturellus,audio\217697.wav
41,41.0,85052,Crypturellus,audio\85052.wav
42,42.0,85051,Crypturellus,audio\85051.wav
43,43.0,85050,Crypturellus,audio\85050.wav
44,44.0,85049,Crypturellus,audio\85049.wav
45,45.0,20908,Crypturellus,audio\20908.wav
46,46.0,1483,Crypturellus,audio\1483.wav
47,47.0,494959,Crypturellus,audio\494959.wav
48,48.0,424637,Crypturellus,audio\424637.wav
49,49.0,348637,Crypturellus,audio\348637.wav
50,50.0,344287,Crypturellus,audio\344287.wav
51,51.0,337077,Crypturellus,audio\337077.wav
52,52.0,337076,Crypturellus,audio\337076.wav
53,53.0,288347,Crypturellus,audio\288347.wav
54,54.0,221859,Crypturellus,audio\221859.wav
55,55.0,221858,Crypturellus,audio\221858.wav
56,56.0,217865,Crypturellus,audio\217865.wav
57,57.0,189613,Crypturellus,audio\189613.wav
58,58.0,189513,Crypturellus,audio\189513.wav
59,59.0,171118,Crypturellus,audio\171118.wav
60,60.0,164486,Crypturellus,audio\164486.wav
61,61.0,145686,Crypturellus,audio\145686.wav
62,62.0,115082,Crypturellus,audio\115082.wav
63,63.0,113190,Crypturellus,audio\113190.wav
64,64.0,109180,Crypturellus,audio\109180.wav
65,65.0,85856,Crypturellus,audio\85856.wav
66,66.0,85044,Crypturellus,audio\85044.wav
67,67.0,85043,Crypturellus,audio\85043.wav
